,location,location_population,occupation,hobbies,friends_number,sex,credit_card_type,relationship_status,education,dob,daily_commute
2132,Sochaczew,36790,"Chief executives, senior officials and legislators",scrapbook,0,1.0,Visa,Married,4.0,45.29807692307692,40.0
2133,Ostrów Wielkopolski,72364,"Food processing, wood working, garment and other craft and related trades workers","Bodybuilding,Web surfing,Model building",145,1.0,Visa,Single,6.0,24.0,77.0
2134,Wrocław,638586,Health associate professionals,"Bodybuilding,Community",296,0.0,Mastercard,In relationship,4.0,42.0,43.0
2135,Warszawa,1764615,Numerical and material recording clerks,Flag Football,341,1.0,Revolut,Married,4.0,45.29807692307692,48.475083056478404
2136,Radom,214566,"Agricultural, forestry and fishery labourers",,192,0.0,Visa,In relationship,2.0,39.0,41.0
2137,Krosno,46600,Customer services clerks,"Cardio,Cooking",221,0.0,Visa,Married,4.0,48.0,83.0
2138,Wrocław,638586,Health associate professionals,"Poi,Gaming",266,1.0,Mastercard,In relationship,4.0,53.0,83.0
2139,Szamocin,4302,Food preparation assistants,"Shopping,Netball",227,0.0,Mastercard,Married,5.0,50.0,3.0
2140,Knurów,38594,Teaching professionals,Kayaking,231,1.0,Revolut,In relationship,4.0,45.0,50.70429252782194
2141,Lubin,72892,Refuse workers and other elementary workers,"Graffiti,BASE jumping",340,0.0,Visa,In relationship,2.0,27.0,8.0
2142,Elbląg,120895,"Agricultural, forestry and fishery labourers","Cardio,Worldbuilding,Pottery",194,1.0,Visa,Single,2.0,52.0,63.0
2143,Poznań,538633,"Labourers in mining, construction, manufacturing and transport","Crossfit,Badminton",243,0.0,Mastercard,In relationship,4.0,33.0,74.0
2144,Łódź,690422,Commissioned armed forces officers,"Listening to music,Nordic skating,Parkour",291,1.0,Visa,In relationship,4.0,53.0,26.0
2145,Toruń,202562,"Legal, social and cultural professionals","Digital arts,Drawing",137,1.0,Visa,In relationship,4.0,45.672,87.0
2146,Opole,128140,"Agricultural, forestry and fishery labourers","Bodybuilding,Lacemaking,Watching movies,Knife making",182,1.0,Mastercard,Married,2.0,30.0,48.475083056478404
2147,Warszawa,1764615,"Legal, social and cultural professionals",,239,1.0,Visa,In relationship,4.0,35.0,50.0
2148,Warszawa,1764615,Handicraft and printing workers,"Squash,Stretching,Fitness",178,0.0,Mastercard,Married,4.0,23.0,58.0
2149,Siedlce,77653,"Hospitality, retail and other services managers","Squash,Mycology",353,1.0,Visa,In relationship,1.0,37.0,44.0
2150,Brzeziny,12534,"Labourers in mining, construction, manufacturing and transport","Rowing,Weightlifting,Knife making,Horseback riding",299,1.0,Mastercard,Married with kids,3.0,37.0,35.0
2151,Kock,3342,Street and related sales and service workers,"Crossfit,Mountaineering,Digital arts,Running",192,0.0,Visa,Single,4.0,52.0,80.0
2152,Piotrków Trybunalski,74312,"Building and related trades workers, excluding electricians",,159,0.0,Visa,In relationship,4.0,44.0,32.0
2153,Warszawa,1764615,Handicraft and printing workers,,165,0.0,Visa,Married,1.0,43.566502463054185,87.0
2154,Pleszew,17437,Other clerical support workers,"Dance,Pottery,Juggling",281,1.0,Visa,Divorced,4.0,58.0,42.0
2155,Białystok,297288,"Food processing, wood working, garment and other craft and related trades workers","Gym,Crossfit,Cosplaying",142,0.0,Visa,Single,3.0,60.0,9.0
2156,Chojnice,39937,Science and engineering professionals,Embroidery,0,1.0,Mastercard,Married with kids,2.0,56.0,95.0
2157,Łódź,690422,"Agricultural, forestry and fishery labourers","Cryptography,Orienteering",159,1.0,Visa,In relationship,2.0,47.0,46.0
2158,Tychy,128211,Teaching professionals,"Bodybuilding,Quilting,Lapidary,Geocaching",222,1.0,Visa,Single,1.0,33.0,67.0
2159,Poznań,538633,Business and administration professionals,Stretching,324,0.0,Visa,In relationship,5.0,48.0,99.0
2160,Wrocław,638586,Health professionals,"Knitting,Vehicle restoration,role-playing games",134,1.0,Mastercard,Divorced,5.0,55.0,77.0
2161,Kalisz,101625,"Building and related trades workers, excluding electricians","Squash,Hunting,Shooting",419,0.0,Mastercard,Married,4.0,43.566502463054185,99.0
2162,Gdańsk,464254,Business and administration associate professionals,"Squash,Geocaching,Lapidary,Sculpting",250,1.0,Revolut,Single,1.0,56.0,74.0
2163,Kalisz,101625,Electrical and electronic trades workers,,273,1.0,Visa,In relationship,4.0,66.0,81.0
2164,Łódź,690422,"Food processing, wood working, garment and other craft and related trades workers","Motor sports,Sand art",0,1.0,Visa,In relationship,3.0,32.0,9.0
2165,Łomża,63092,"Building and related trades workers, excluding electricians",Rafting,246,1.0,Visa,Married,5.0,51.0,70.0
2166,Krotoszyn,29109,Sales workers,"Stretching,Tai chi,Juggling,Netball",419,1.0,Visa,Married with kids,2.0,57.0,49.55
2167,Aleksandrów Łódzki,21535,Sales workers,,94,1.0,Visa,In relationship,6.0,46.0,73.0
2168,Niepołomice,12507,Food preparation assistants,"Knife making,Taxidermy",218,1.0,Visa,In relationship,4.0,48.0,85.0
2169,Cieszyn,34876,Teaching professionals,"Cardio,Woodworking",143,0.0,Mastercard,In relationship,6.0,52.0,45.0
2170,Chełm,63333,"Metal, machinery and related trades workers","Metalworking,Coffee roasting,Pet",196,1.0,Mastercard,Married,4.0,39.0,61.0
2171,Poddębice,7530,"Legal, social, cultural and related associate professionals",Juggling,235,1.0,Mastercard,In relationship,4.0,47.0,54.0
2172,Gorlice,27781,Personal service workers,"Singing,Leather crafting,Crocheting",200,1.0,Visa,In relationship,3.0,55.0,78.0
2173,Łódź,690422,"Labourers in mining, construction, manufacturing and transport","Rowing,Gaming,Bodybuilding,Snowboarding",202,0.0,Visa,Married,5.0,40.0,68.0
2174,Łobez,10299,"Chief executives, senior officials and legislators",Sculling,272,1.0,Mastercard,Married with kids,6.0,35.0,49.55
2175,Pabianice,65823,"Metal, machinery and related trades workers",,348,1.0,Visa,Married with kids,5.0,30.0,83.0
2176,Kazimierz Dolny,2607,Administrative and commercial managers,Gym,68,1.0,Visa,Married,6.0,43.0,61.0
2177,Lublin,339850,"Legal, social, cultural and related associate professionals","Squash,Foraging",291,1.0,Visa,Married,3.0,33.0,16.0
2178,Częstochowa,224376,"Metal, machinery and related trades workers","Gym,Stretching,Basketball,Beekeeping",0,0.0,Visa,In relationship,2.0,33.0,56.0
2179,Tczew,60257,"Metal, machinery and related trades workers","Crossfit,Badminton,Homebrewing,Reading",323,0.0,Visa,Divorced,4.0,50.0,32.0
2180,Warszawa,1764615,Health associate professionals,"Stretching,Air sports",264,1.0,Visa,Married with kids,4.0,36.0,49.55
2181,Kraków,767348,Non-commissioned armed forces officers,,81,1.0,Mastercard,In relationship,3.0,45.672,86.0
2182,Łapy,15689,Stationary plant and machine operators,Candle making,60,0.0,Visa,Married with kids,2.0,44.0,28.0
2183,Łaziska Górne,22390,Drivers and mobile plant operators,"Stretching,Rock climbing,Fashion,Knapping",341,0.0,Mastercard,In relationship,3.0,41.0,49.67351598173516
2184,Józefów,20488,Teaching professionals,"Reading,Skydiving",248,0.0,Mastercard,Single,4.0,53.0,59.0
2185,Wrocław,638586,Sales workers,"Brazilian jiu-jitsu,Crocheting",87,0.0,Mastercard,Married,5.0,54.0,84.0
2186,Kórnik,7793,Health associate professionals,"Drawing,Cycling,Taxidermy",142,1.0,Mastercard,Married with kids,5.0,46.14666666666667,4.0
2187,Mieszkowice,3681,Production and specialised services managers,"Cardio,Stone skipping,Homebrewing,Mountain biking",253,1.0,Mastercard,Married,4.0,50.0,48.475083056478404
2188,Łomża,63092,Commissioned armed forces officers,"Cardio,Cooking",224,0.0,Revolut,Married with kids,4.0,45.26573426573427,83.0
2189,Busko-Zdrój,16092,Personal service workers,"Stretching,Power bike,Coloring,Archery",261,1.0,Visa,Divorced,5.0,39.0,63.0
2190,Pilawa,4557,Assemblers,"Juggling,Parkour,Kitesurfing",141,1.0,Visa,Divorced,4.0,36.0,94.0
2191,Stargard,68195,Food preparation assistants,"Gym,Origami,Soapmaking,Rafting",177,1.0,Mastercard,Married,4.0,26.0,82.0
2192,Turek,27311,Sales workers,Cardio,137,1.0,Mastercard,Married with kids,4.0,43.0,11.0
2193,Gliwice,181309,Stationary plant and machine operators,,256,1.0,Revolut,Married,4.0,60.0,38.0
2194,Dąbrowa Górnicza,121121,Other clerical support workers,"Urban exploration,Slacklining",203,1.0,Mastercard,In relationship,3.0,69.0,80.0
2195,Iława,33132,General and keyboard clerks,"Kettleballs,Geocaching,Tai chi",312,0.0,Mastercard,Married,3.0,23.0,26.0
2196,Poznań,538633,"Building and related trades workers, excluding electricians","tabletop games,Stone skipping,Taxidermy",428,1.0,Visa,Married with kids,4.0,32.0,75.0
2197,Szczecin,403883,"Food processing, wood working, garment and other craft and related trades workers","Machining,Hiking,Community",119,1.0,Visa,In relationship,1.0,58.0,75.0
2198,Częstochowa,224376,Market-oriented skilled agricultural workers,"Lego building,Sketching",222,1.0,Visa,Married,5.0,73.0,93.0
2199,Warszawa,1764615,"Labourers in mining, construction, manufacturing and transport","Gym,3D printing,Gaming,Flag Football",117,1.0,Mastercard,Married with kids,4.0,42.0,56.0
2200,Bielsko-Biała,171505,"Food processing, wood working, garment and other craft and related trades workers","Bodybuilding,Metalworking,Foraging,Pottery",127,1.0,Mastercard,In relationship,3.0,39.0,38.0
2201,Warszawa,1764615,"Market-oriented skilled forestry, fishery and hunting workers","Weightlifting,Model building",291,1.0,Visa,In relationship,5.0,24.0,95.0
2202,Lubin,72892,General and keyboard clerks,,252,0.0,Visa,In relationship,6.0,43.0,32.0
2203,Grodzisk Mazowiecki,30955,Street and related sales and service workers,"Kettleballs,Soapmaking",265,0.0,Visa,Married,3.0,70.0,17.0
2204,Otwock,44873,Health associate professionals,Ghost hunting,386,1.0,Mastercard,In relationship,5.0,46.0,19.0
2205,Kielce,196804,Business and administration professionals,"Skateboarding,Rappelling",133,1.0,Visa,Divorced,3.0,42.0,95.0
2206,Tarnowskie Góry,61262,Administrative and commercial managers,Rowing,230,0.0,Mastercard,Married with kids,5.0,54.0,54.0
2207,Bytom,168394,"Legal, social and cultural professionals","Crossfit,Sudoku,Kite flying",165,1.0,Visa,In relationship,5.0,27.0,54.0
2208,Sokółka,18331,General and keyboard clerks,"LARPing,Foreign language learning,Netball",243,0.0,Visa,Single,4.0,52.0,55.0
2209,Jelenia Góra,80072,Teaching professionals,"Skiing,Video gaming,Tai chi",348,1.0,Visa,Divorced,3.0,44.38461538461539,78.0
2210,Malbork,38723,Science and engineering associate professionals,,214,1.0,Mastercard,In relationship,4.0,31.0,24.0
2211,Leszno,64197,Refuse workers and other elementary workers,"Sudoku,Drama,Fishing",167,1.0,Visa,Married with kids,5.0,69.0,58.0
2212,Tuszyn,7293,"Armed forces occupations, other ranks","Weightlifting,Kitesurfing",206,0.0,Visa,Single,4.0,41.0,38.0
2213,Ciechanów,44303,"Metal, machinery and related trades workers","Motor sports,role-playing games,Kite flying",253,0.0,Visa,Single,3.0,61.0,4.0
2214,Toruń,202562,Refuse workers and other elementary workers,Cosplaying,203,1.0,Mastercard,Married with kids,5.0,37.0,61.0
2215,Dobrodzień,3749,Business and administration professionals,"Letterboxing,Parkour",165,1.0,Mastercard,In relationship,3.0,60.0,43.0
2216,Dąbrowa Górnicza,121121,Personal service workers,"Crossfit,Stretching,Stone skipping,amateur radio",324,0.0,Visa,In relationship,4.0,32.0,77.0
2217,Warszawa,1764615,Business and administration professionals,"Horseback riding,Kabaddi",174,1.0,Mastercard,In relationship,5.0,49.0,74.0
2218,Złotów,18441,Stationary plant and machine operators,"Kettleballs,Rowing",189,1.0,Visa,Divorced,3.0,24.0,10.0
2219,Gdańsk,464254,Administrative and commercial managers,,108,1.0,Mastercard,Single,3.0,45.0,98.0
2220,Ciechanów,44303,General and keyboard clerks,"Squash,Basketball,Stone skipping,Lapidary",223,0.0,Visa,Single,3.0,33.0,39.0
2221,Mieroszów,4147,Handicraft and printing workers,"Squash,Machining,Hooping",349,1.0,Visa,In relationship,6.0,36.0,50.70429252782194
2222,Kalisz,101625,Health professionals,Homebrewing,208,0.0,American Express,In relationship,5.0,59.0,55.0
2223,Ustka,15709,"Building and related trades workers, excluding electricians","Squash,Do it yourself,Rappelling,Roller skating",192,1.0,Visa,Single,2.0,47.0,87.0
2224,Białystok,297288,Health professionals,Horseback riding,299,1.0,Visa,In relationship,4.0,36.0,8.0
2225,Grudziądz,95629,Food preparation assistants,Book restoration,291,0.0,Mastercard,In relationship,3.0,36.0,44.0
2226,Koszalin,107670,"Building and related trades workers, excluding electricians",Kayaking,190,1.0,Visa,Divorced,4.0,42.0,95.0
2227,Wasilków,11074,"Armed forces occupations, other ranks",Sports,153,1.0,Mastercard,Married with kids,6.0,42.0,17.0
2228,Bytom Odrzański,4365,Sales workers,"Crossfit,Blacksmithing,Backpacking",99,1.0,Mastercard,In relationship,2.0,60.0,98.0
2229,Radom,214566,Business and administration associate professionals,"Gambling,Photography",202,0.0,Visa,In relationship,5.0,55.0,45.0
2230,Ząbki,35770,Protective services workers,"Kettleballs,Crossfit",343,0.0,Visa,Single,4.0,24.0,49.0
2231,Tychy,128211,Non-commissioned armed forces officers,,309,1.0,Visa,In relationship,3.0,49.0,38.0
2232,Bielsko-Biała,171505,Commissioned armed forces officers,Hiking,78,0.0,Visa,Divorced,4.0,28.0,69.0
2233,Poznań,538633,Street and related sales and service workers,"Rowing,Pet,Horseback riding",163,1.0,Mastercard,Single,5.0,35.0,30.0
2234,Warszawa,1764615,Science and engineering associate professionals,"Badminton,Painting,Water sports",96,1.0,Mastercard,In relationship,4.0,43.0,23.0
2235,Głubczyce,12624,Information and communications technology professionals,,205,1.0,Visa,Single,4.0,64.0,34.0
2236,Kraków,767348,"Legal, social and cultural professionals","scrapbook,Flying disc,Stand-up comedy",55,1.0,Mastercard,Married,5.0,33.0,36.0
2237,Wadowice,18851,Personal care workers,"Stretching,Gunsmithing,Roller skating",188,1.0,Visa,Married with kids,5.0,30.0,49.55
2238,Międzybórz,2362,Numerical and material recording clerks,Scrapbooking,141,1.0,Mastercard,Married,5.0,45.29807692307692,68.0
2239,Zielona Góra,139819,Refuse workers and other elementary workers,"Mycology,Dance,Magic",144,0.0,Visa,Single,3.0,37.0,49.32786885245902
2240,Wrocław,638586,Handicraft and printing workers,,59,0.0,Mastercard,Married with kids,5.0,27.0,79.0
2241,Kraków,767348,Stationary plant and machine operators,"Fitness,Gym",161,1.0,Mastercard,Married,6.0,57.0,13.0
2242,Toruń,202562,"Hospitality, retail and other services managers",,140,1.0,Mastercard,Single,2.0,63.0,77.0
2243,Żelechów,3994,Business and administration associate professionals,"Rowing,Skiing",28,1.0,Mastercard,Divorced,4.0,25.0,42.0
2244,Praszka,7724,Market-oriented skilled agricultural workers,Dowsing,57,0.0,Mastercard,Married,2.0,38.0,73.0
2245,Wrocław,638586,Science and engineering professionals,"Kettleballs,Cycling,Whittling,Gunsmithing",133,1.0,Visa,In relationship,5.0,42.0,62.0
2246,Zielona Góra,139819,"Legal, social, cultural and related associate professionals","Weightlifting,Kettleballs,Lockpicking,Archery",103,0.0,Visa,Married,4.0,38.0,42.0
2247,Kraków,767348,"Chief executives, senior officials and legislators","Taekwondo,Scrapbooking,BASE jumping",312,1.0,Mastercard,In relationship,5.0,54.0,59.0
2248,Piaseczno,47660,Protective services workers,"Crossfit,Taxidermy,Driving",221,0.0,Visa,Married with kids,3.0,53.0,94.0
2249,Zawiercie,49908,"Agricultural, forestry and fishery labourers","Crossfit,Baseball,Tai chi",167,0.0,Visa,In relationship,4.0,31.0,93.0
2250,Rzeszów,189662,Science and engineering associate professionals,"Table tennis,Do it yourself",223,0.0,Mastercard,In relationship,4.0,53.0,74.0
2251,Strumień,3696,"Armed forces occupations, other ranks",,258,0.0,Mastercard,Married,4.0,23.0,88.0
2252,Złotoryja,15783,"Armed forces occupations, other ranks","Kettleballs,Weightlifting,scrapbook",186,1.0,Visa,Married,3.0,35.0,32.0
2253,Kraków,767348,Health professionals,,104,1.0,Visa,In relationship,4.0,63.0,50.70429252782194
2254,Turek,27311,"Hospitality, retail and other services managers","Woodworking,Water sports",429,1.0,Visa,Married,3.0,23.0,40.0
2255,Gdańsk,464254,"Hospitality, retail and other services managers","Stretching,Sculpting,Book restoration,Geocaching",142,1.0,Mastercard,In relationship,3.0,47.0,29.0
2256,Ząbki,35770,Personal care workers,"Badminton,Gambling,Sand art",190,0.0,Visa,In relationship,1.0,23.0,49.67351598173516
2257,Lublin,339850,Health associate professionals,Baseball,318,1.0,Visa,Married with kids,5.0,39.0,63.0
2258,Morąg,13994,"Chief executives, senior officials and legislators","Weightlifting,Squash,Cardio,Jigsaw puzzles",194,0.0,Visa,Divorced,4.0,35.0,27.0
2259,Tomaszów Mazowiecki,63238,Sales workers,Squash,168,1.0,Visa,In relationship,4.0,32.0,92.0
2260,Łódź,690422,Information and communications technology professionals,,248,1.0,Visa,Single,5.0,41.0,39.0
2261,Suchedniów,8478,Commissioned armed forces officers,"Rowing,Poi,Slacklining,Knife making",390,0.0,Mastercard,In relationship,2.0,53.0,82.0
2262,Chorzów,109021,Food preparation assistants,"Flying,Mountaineering",293,0.0,Visa,Married,4.0,60.0,21.0
2263,Kołobrzeg,46568,"Agricultural, forestry and fishery labourers",,214,1.0,Visa,In relationship,2.0,45.672,76.0
2264,Iwonicz-Zdrój,1798,Information and communications technicians,,349,1.0,Visa,Married with kids,5.0,46.14666666666667,77.0
2265,Wałbrzych,113621,Science and engineering associate professionals,"Polo,Scouting",181,1.0,Visa,In relationship,5.0,74.0,59.0
2266,Reda,25102,Numerical and material recording clerks,Rowing,343,0.0,Visa,Married,2.0,24.0,43.0
2267,Tychy,128211,Protective services workers,"Power bike,3D printing",203,1.0,Visa,Married,5.0,74.0,26.0
2268,Konin,74834,"Chief executives, senior officials and legislators","Weightlifting,Cosplaying,Mycology,Beekeeping",192,1.0,Visa,Married,4.0,41.0,48.475083056478404
2269,Nowy Tomyśl,14702,Production and specialised services managers,"Fitness,Metal detecting",131,0.0,Visa,Married with kids,4.0,50.0,90.0
2270,Jastrzębie-Zdrój,89590,Personal service workers,"Squash,Kettleballs,Acting,Graffiti",208,1.0,Mastercard,Married,5.0,53.0,83.0
2271,Wrocław,638586,"Metal, machinery and related trades workers",,136,0.0,Mastercard,Married,3.0,24.0,12.0
2272,Środa Wielkopolska,23162,Sales workers,"Fitness,Drama",229,0.0,Mastercard,In relationship,2.0,57.0,42.0
2273,Warszawa,1764615,Other clerical support workers,"Cardio,Badminton,Gym,Watching movies,Lockpicking,Skydiving",210,1.0,Visa,Single,1.0,53.0,88.0
2274,Lipiany,3982,Food preparation assistants,Crocheting,234,0.0,Visa,Single,3.0,60.0,63.0
2275,Piastów,22732,Teaching professionals,Fitness,196,1.0,Visa,Single,4.0,41.0,46.0
2276,Pilzno,4892,Commissioned armed forces officers,Sculling,314,1.0,Mastercard,Married,4.0,51.0,79.0
2277,Grudziądz,95629,Personal service workers,"Rowing,Archery,Metalworking",189,1.0,Visa,Married,5.0,62.0,25.0
2278,Giżycko,29480,Non-commissioned armed forces officers,"Air sports,Inline skating",236,0.0,Mastercard,Married,5.0,57.0,70.0
2279,Warszawa,1764615,Production and specialised services managers,"Squash,Kayaking,Motor sports",121,1.0,Mastercard,Married,5.0,28.0,48.475083056478404
2280,Zabrze,174349,Science and engineering associate professionals,"Fitness,Rowing,Motor sports,Beekeeping",136,0.0,Visa,Married,3.0,47.0,90.0
2281,Pruszcz Gdański,30468,Assemblers,,237,1.0,Visa,In relationship,5.0,24.0,99.0
2282,Kielce,196804,Numerical and material recording clerks,Tai chi,230,0.0,Visa,Single,3.0,23.0,31.0
2283,Bielsko-Biała,171505,"Agricultural, forestry and fishery labourers",Jogging,267,1.0,Visa,In relationship,4.0,28.0,70.0
2284,Wrocław,638586,"Labourers in mining, construction, manufacturing and transport","Power bike,Poi",125,0.0,Mastercard,Married with kids,6.0,32.0,84.0
2285,Katowice,296262,Information and communications technicians,"Flying disc,Wood carving,Lapidary",170,1.0,Mastercard,In relationship,3.0,24.0,11.0
2286,Ożarów,4594,Science and engineering professionals,"Squash,Flying disc",143,0.0,Mastercard,In relationship,4.0,43.69859813084112,49.67351598173516
2287,Muszyna,4909,"Chief executives, senior officials and legislators",,181,1.0,Visa,Married with kids,4.0,67.0,83.0
2288,Łomża,63092,Drivers and mobile plant operators,"Fitness,Gym,Snowboarding,Kabaddi,Lapidary",118,1.0,Visa,Married,3.0,45.29807692307692,48.475083056478404
2289,Dąbrowa Górnicza,121121,Production and specialised services managers,"Badminton,Mushroom hunting,Board sports",58,1.0,Visa,Married with kids,3.0,51.0,10.0
2290,Warszawa,1764615,"Legal, social, cultural and related associate professionals","Mushroom hunting,Blacksmithing",229,1.0,Mastercard,In relationship,5.0,57.0,50.70429252782194
2291,Piekary Śląskie,55652,Other clerical support workers,"LARPing,Brazilian jiu-jitsu",74,1.0,Visa,Married,6.0,40.0,93.0
2292,Włoszczowa,10096,"Metal, machinery and related trades workers",Crossfit,279,1.0,Mastercard,Married with kids,3.0,61.0,49.55
2293,Mława,31243,Science and engineering professionals,,173,1.0,Visa,Single,5.0,23.0,25.0
2294,Kostrzyn,9711,"Hospitality, retail and other services managers",Magic,209,0.0,Visa,Married with kids,4.0,50.0,33.0
2295,Bielsko-Biała,171505,Drivers and mobile plant operators,"Weightlifting,Cardio",175,1.0,Mastercard,In relationship,1.0,23.0,65.0
2296,Dąbrowa Górnicza,121121,Protective services workers,,0,1.0,Mastercard,In relationship,3.0,49.0,25.0
2297,Dąbrowa Górnicza,121121,Production and specialised services managers,"Weightlifting,Poi",324,1.0,Mastercard,Married with kids,3.0,45.0,42.0
2298,Pruszków,61237,Administrative and commercial managers,Skydiving,236,1.0,Mastercard,Single,4.0,32.0,6.0
2299,Słupsk,91465,Stationary plant and machine operators,Kitesurfing,327,0.0,Visa,Married,5.0,43.566502463054185,50.838862559241704
2300,Inowrocław,73577,Handicraft and printing workers,"Kabaddi,Board games",363,0.0,Mastercard,In relationship,5.0,43.0,32.0
2301,Bydgoszcz,352313,"Chief executives, senior officials and legislators","Kettleballs,Bodybuilding,Skimboarding,Photography,Inline skating",186,0.0,Mastercard,Married,4.0,39.0,92.0
2302,Reszel,4615,"Metal, machinery and related trades workers",Gaming,235,0.0,Revolut,Single,4.0,40.63265306122449,49.32786885245902
2303,Mińsk Mazowiecki,40399,Electrical and electronic trades workers,"Wood carving,Taekwondo,Glassblowing",230,1.0,Visa,In relationship,4.0,34.0,50.70429252782194
2304,Kraków,767348,Handicraft and printing workers,"Rowing,Bodybuilding,Gunsmithing,Nordic skating",229,0.0,Visa,Married,4.0,28.0,67.0
2305,Ełk,61523,Science and engineering professionals,"Fitness,Ghost hunting,Singing",192,0.0,Visa,In relationship,3.0,40.0,52.0
2306,Warszawa,1764615,Personal service workers,Poi,284,0.0,Visa,Single,5.0,61.0,38.0
2307,Warszawa,1764615,Information and communications technology professionals,"Gym,Table tennis,Whittling",221,0.0,Visa,Divorced,1.0,44.59375,91.0
2308,Gliwice,181309,Market-oriented skilled agricultural workers,"Gym,Weightlifting,Calligraphy,Jigsaw puzzles,Leather crafting",30,0.0,Visa,Divorced,2.0,44.0,52.0
2309,Warszawa,1764615,Food preparation assistants,,88,0.0,Visa,Single,6.0,29.0,10.0
2310,Poznań,538633,Drivers and mobile plant operators,,0,1.0,Mastercard,Married with kids,2.0,23.0,86.0
2311,Wronki,11293,"Legal, social and cultural professionals",,203,0.0,Mastercard,Single,4.0,34.0,84.0
2312,Poręba,8581,"Armed forces occupations, other ranks","Blacksmithing,Scouting,Running",146,1.0,Visa,Divorced,5.0,46.0,57.0
2313,Rumia,48632,"Agricultural, forestry and fishery labourers",,309,0.0,Visa,Married,4.0,43.566502463054185,53.0
2314,Wodzisław Śląski,48345,Science and engineering professionals,"Kettleballs,Rowing,Mountaineering,Yoga,Inline skating",69,1.0,Visa,In relationship,4.0,47.0,9.0
2315,Płock,120787,"Subsistence farmers, fishers, hunters and gatherers","Kettleballs,Bodybuilding,Candle making",87,1.0,Visa,Married,4.0,47.0,13.0
2316,Warszawa,1764615,Protective services workers,Cardio,234,1.0,Visa,Single,1.0,50.0,40.0
2317,Łódź,690422,Sales workers,"Gym,Foraging,Vacation,Quilting",222,1.0,Visa,Married with kids,3.0,71.0,45.0
2318,Wrocław,638586,Protective services workers,"Gym,Flying disc,Foreign language learning",145,1.0,Visa,In relationship,4.0,45.672,20.0
2319,Węgrów,12765,Personal service workers,"Cardio,Gym,Weightlifting,Air sports",220,1.0,Visa,In relationship,5.0,53.0,87.0
2320,Warszawa,1764615,Food preparation assistants,"Sailing,Mountain biking,Gardening",105,0.0,Visa,Divorced,4.0,62.0,96.0
2321,Giżycko,29480,"Hospitality, retail and other services managers","Crossfit,Calligraphy",118,0.0,Mastercard,Single,2.0,33.0,91.0
2322,Wrocław,638586,"Agricultural, forestry and fishery labourers",,105,0.0,Visa,Divorced,5.0,32.0,62.0
2323,Nowa Dęba,11215,Customer services clerks,Vacation,80,1.0,Visa,Married,4.0,60.0,48.475083056478404
2324,Mosina,13762,Electrical and electronic trades workers,"Gym,Board games",167,0.0,Visa,Married,2.0,36.0,26.0
2325,Ruda Śląska,138578,Teaching professionals,"Hunting,Fashion",186,0.0,Visa,In relationship,5.0,47.0,26.0
2326,Boguchwała,6096,Market-oriented skilled agricultural workers,"Gym,Slacklining,Jigsaw puzzles,Bodybuilding",209,1.0,Visa,Married with kids,3.0,41.0,97.0
2327,Bytom,168394,Health associate professionals,,84,0.0,Visa,In relationship,5.0,27.0,40.0
2328,Lublin,339850,Customer services clerks,Geocaching,224,1.0,Mastercard,Married,5.0,30.0,17.0
2329,Kraków,767348,Production and specialised services managers,"Weightlifting,Singing,Lockpicking,Cycling",319,1.0,Mastercard,In relationship,5.0,44.0,45.0
2330,Gdańsk,464254,Personal service workers,Bird watching,70,1.0,Visa,Married with kids,3.0,46.14666666666667,35.0
2331,Rzeszów,189662,"Hospitality, retail and other services managers","Stretching,Squash,Polo,Candle making,Sculpting",240,1.0,Mastercard,In relationship,5.0,40.0,31.0
2332,Braniewo,17074,"Labourers in mining, construction, manufacturing and transport",Weightlifting,95,1.0,Mastercard,In relationship,4.0,45.672,0.0
2333,Witkowo,7873,"Armed forces occupations, other ranks",Stretching,130,1.0,Visa,Married with kids,5.0,68.0,49.55
2334,Lubań,21318,"Agricultural, forestry and fishery labourers",3D printing,207,1.0,Mastercard,Married,4.0,37.0,48.475083056478404
2335,Kraków,767348,"Subsistence farmers, fishers, hunters and gatherers","Gardening,Driving",248,1.0,Mastercard,In relationship,3.0,27.0,10.0
2336,Szczecin,403883,Assemblers,"Squash,Flag Football,Parkour",153,1.0,Visa,In relationship,4.0,38.0,12.0
2337,Wałbrzych,113621,"Chief executives, senior officials and legislators","Bodybuilding,Gambling",188,0.0,Visa,Single,4.0,27.0,72.0
2338,Łódź,690422,Business and administration associate professionals,"Yoga,Playing musical instruments,Computer programming",300,1.0,Visa,In relationship,3.0,45.672,15.0
2339,Chełm,63333,Protective services workers,"Squash,Weightlifting,Juggling,Rock climbing,Cooking",308,0.0,Revolut,In relationship,6.0,45.0,19.0
2340,Poznań,538633,"Legal, social, cultural and related associate professionals","Power bike,Kettleballs,Model building",294,1.0,Visa,Married,2.0,24.0,34.0
2341,Kraków,767348,Non-commissioned armed forces officers,"Bodybuilding,Squash",320,0.0,Mastercard,In relationship,1.0,26.0,50.0
2342,Marki,32686,Production and specialised services managers,"Fishing,Electronics,Scuba diving",236,0.0,Visa,Married,5.0,44.0,38.0
2343,Tarczyn,4105,Science and engineering professionals,"tabletop games,Skydiving,Surfing",169,0.0,Visa,Married,2.0,49.0,25.0
2344,Rydułtowy,21700,Market-oriented skilled agricultural workers,"Stretching,Stone skipping,Genealogy",363,0.0,Mastercard,In relationship,4.0,43.69859813084112,16.0
